0.05	4.40875	3.05993	1.26909	6.10558
0.0596	4.83905	3.35603	1.39094	6.70605
0.06919	5.15605	3.57306	1.48361	7.1446
0.07879	5.41175	3.7476	1.55244	7.49356
0.08838	5.63669	3.90059	1.62075	7.81468
0.09798	5.825	4.03594	1.67645	8.07464
0.1076	5.99969	4.15474	1.72454	8.31696
0.1172	6.15025	4.26711	1.77522	8.52019
0.1268	6.3057	4.36867	1.81931	8.75219
0.1364	6.44897	4.47772	1.85651	8.94263
0.146	6.57808	4.55907	1.89297	9.11104
0.1556	6.72371	4.66384	1.93164	9.33436
0.1651	6.86157	4.75173	1.97242	9.5191
0.1747	6.97479	4.8395	2.00915	9.67898
0.1843	7.10281	4.91358	2.04313	9.85653
0.1939	7.2206	5.00201	2.07241	10.0073
0.2035	7.34093	5.09169	2.11325	10.1669
0.2131	7.45441	5.1632	2.14112	10.3345
0.2227	7.57373	5.25666	2.1808	10.5136
0.2323	7.69096	5.3237	2.21156	10.6563
0.2419	7.79014	5.40189	2.24347	10.8
0.2515	7.90377	5.4782	2.2768	10.9605
0.2611	8.01181	5.55387	2.30311	11.0964
0.2707	8.11767	5.62245	2.33372	11.2532
0.2803	8.22338	5.70156	2.37031	11.4122
0.2899	8.31478	5.76973	2.39373	11.5195
0.2995	8.42613	5.83709	2.42149	11.6808
0.3091	8.50992	5.89426	2.44659	11.8105
0.3187	8.62169	5.98334	2.48744	11.9521
0.3283	8.71262	6.03619	2.50772	12.0786
0.3379	8.78916	6.0908	2.524	12.178
0.3475	8.9079	6.17677	2.56536	12.3596
0.3571	9.02524	6.25677	2.60311	12.4998
0.3667	9.09402	6.31872	2.62082	12.5891
0.3763	9.19349	6.37601	2.63758	12.7667
0.3859	9.28427	6.43582	2.67597	12.8677
0.3954	9.39777	6.5244	2.69801	13.0319
0.405	9.46632	6.56085	2.7223	13.1108
0.4146	9.5764	6.63235	2.75234	13.2635
0.4242	9.63505	6.68139	2.77349	13.3539
0.4338	9.73512	6.74884	2.79731	13.4927
0.4434	9.82708	6.81791	2.82162	13.6212
0.453	9.91117	6.86696	2.85701	13.7372
0.4626	10.0113	6.93754	2.87521	13.8778
0.4722	10.0857	6.97993	2.89913	13.9792
0.4818	10.1559	7.02877	2.91364	14.081
0.4914	10.2453	7.10426	2.95372	14.1883
0.501	10.3318	7.16669	2.9761	14.3189
0.5106	10.4175	7.22275	3.00266	14.4439
0.5202	10.5036	7.29201	3.02365	14.5524
0.5298	10.5651	7.32307	3.03876	14.6463
0.5394	10.6635	7.38027	3.06523	14.7816
0.549	10.7376	7.44457	3.08683	14.8674
0.5586	10.8251	7.507	3.11718	14.9802
0.5682	10.8851	7.5356	3.13911	15.082
0.5778	11.0028	7.62933	3.16971	15.2629
0.5874	11.0533	7.65304	3.17626	15.3255
0.597	11.1383	7.7191	3.2099	15.4374
0.6066	11.2387	7.79435	3.23689	15.5741
0.6162	11.2926	7.82318	3.24944	15.6452
0.6258	11.384	7.8995	3.27464	15.7864
0.6353	11.4426	7.9279	3.29494	15.8617
0.645	11.5364	7.99513	3.32248	15.9946
0.6545	11.5972	8.04144	3.34052	16.075
0.6641	11.6823	8.0992	3.36962	16.194
0.6737	11.7274	8.11549	3.37301	16.2584
0.6833	11.8206	8.19294	3.40075	16.3805
0.6929	11.9049	8.24616	3.41906	16.5268
0.7025	11.9694	8.28173	3.43867	16.6121
0.7121	12.0357	8.35167	3.45936	16.6833
0.7217	12.1334	8.40066	3.49004	16.8195
0.7313	12.1875	8.44779	3.50715	16.8879
0.7409	12.2713	8.48952	3.52769	16.9809
0.7505	12.323	8.54505	3.5516	17.0903
0.7601	12.4299	8.62341	3.57503	17.2281
0.7697	12.4998	8.6537	3.60239	17.3228
0.7793	12.577	8.72137	3.61503	17.4404
0.7889	12.6377	8.76423	3.63177	17.528
0.7985	12.6951	8.79597	3.65355	17.5824
0.8081	12.7603	8.85398	3.66272	17.6891
0.8177	12.835	8.89346	3.6994	17.7844
0.8273	12.9009	8.92205	3.71715	17.8977
0.8369	12.9665	8.97592	3.727	17.9767
0.8465	13.0503	9.04049	3.75907	18.0728
0.8561	13.1091	9.09429	3.77537	18.1749
0.8657	13.1878	9.14325	3.78911	18.3041
0.8752	13.2736	9.19319	3.81447	18.4014
0.8848	13.3353	9.23262	3.83218	18.4786
0.8944	13.4054	9.27573	3.85142	18.5865
0.904	13.4517	9.32416	3.86526	18.6572
0.9136	13.5318	9.37373	3.88617	18.7775
0.9232	13.6174	9.44673	3.91278	18.9023
0.9328	13.6772	9.48785	3.94302	18.9541
0.9424	13.7397	9.5061	3.94705	19.0333
0.952	13.8137	9.56008	3.96849	19.1666
0.9616	13.8712	9.60171	3.98049	19.2209
0.9712	13.9389	9.6594	4.01258	19.337
0.9808	13.9981	9.70056	4.01568	19.3933
0.9904	14.0641	9.75754	4.04709	19.4975
1	14.149	9.79431	4.06806	19.6215
