0.1	167.898
0.11	169.078
0.12	167.619
0.13	168.672
0.14	172.898
0.15	167.25
0.16	169.386
0.17	168.319
0.18	168.891
0.19	171.268
0.2	169.592
0.21	169.497
0.22	170.77
0.23	168.083
0.24	171.775
0.25	171.136
0.26	171.764
0.27	167.964
0.28	170.202
0.29	168.329
0.3	172.908
0.31	172.34
0.32	172.947
0.33	168.272
0.34	169.908
0.35	172.917
0.36	170.033
0.37	168.388
0.38	167.384
0.39	172.227
0.4	172.071
0.41	172.635
0.42	167.673
0.43	168.806
0.44	170.555
0.45	167.367
0.46	169.698
0.47	167.34
0.48	170.507
0.49	168.599
0.5	167.255
0.51	171.758
0.52	170.654
0.53	170.007
0.54	169.688
0.55	169.701
0.56	169.988
0.57	170.657
0.58	171.708
0.59	166.873
0.6	168.016
0.61	169.514
0.62	171.732
0.63	167.573
0.64	169.775
0.65	166.543
0.66	168.968
0.67	166.228
0.68	169
0.69	166.527
0.7	169.844
0.71	167.481
0.72	171.825
0.73	169.309
0.74	167.424
0.75	165.968
0.76	170.375
0.77	168.779
0.78	167.518
0.79	166.486
0.8	165.639
0.81	171.031
0.82	170.06
0.83	169.316
0.84	168.776
0.85	168.395
0.86	168.109
0.87	167.961
0.88	167.943
0.89	168.005
0.9	168.212
0.91	168.515
0.92	168.947
0.93	169.538
0.94	170.309
0.95	171.369
0.96	165.265
0.97	166.005
0.98	166.893
0.99	167.952
